log_adj,smiles,group
0.548461259,Clc1ccccc1-n1c(nnc1\C=C\c1oc(nn1)-c1ccc(cc1)C#N)-c1ncc(S(=O)(=O)C)cc1,training
1.488427232,CCCCOC1=CC=C(N)C=C1,training
0.789036283,Ic1cc(F)c(Nc2n(C)c(cc2C(=O)N2CC(N)C2)C(=O)C)cc1,training
1.535863256,Fc1cc(OCC(F)Cn2c3CCCCc3c3cc(ccc23)-c2onc(n2)C)cc(F)c1,training
1.893331125,[nH]1c2cc(ccc2cc1)C(N1CCCN(CC1)C1CCC1)c1nnnn1Cc1ccccc1,training
1.267178708,CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,training
0.006186982,O(C)c1ccc(N2CCN(CC2)CC[C@@H](OC(=O)N)c2ccccc2)cc1,training
1.224167306,F[C@@H]1CNCC[C@H]1n1c2c3cc[nH]c3ncc2nc1C,training
1.680445825,O1c2c(ccc(N(C)C)c2)C(C(C#N)=C1N)c1ccccc1OCC,training
1.682474681,COC1=CC2=C(C=C1OC)C1C(CO2)OC2=C3CC(OC3=CC=C2C1=O)C(C)=C,training
0.811062162,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H](C3CCC2CC3)C=1O)CC1CCCC1)C,training
1.318864455,Clc1ccc(cc1)C1=N[C@H](c2n(-c3sc(C)c(c13)C)c(nn2)C)CC(OC(C)(C)C)=O,training
2.279284558,n1cc2c(ccnc2)c(c1-c1ccc(cc1)C1(N)CCC1)-c1ccccc1,training
1.279095594,Clc1cccc(C)c1NC(=O)Nc1cc2c(cc1C(=O)N[C@H](C(O)=O)C1CCCCC1)cccc2,training
2.486400083,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1,training
1.160240906,O=C1N(C)[C@@H]([C@H](O)[C@@H](C\C=C\C)C)C(=O)N[C@@H](CC)C(=O)N(CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H]1C(C)C)C,training
1.183097092,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@H]2[C@H]([C@@H]3CC[C@H]2C3)C=1O)Cc1ccc(F)cc1)C,training
0.976025426,O=C(N(C)C)[C@H]1N(c2c(C1)cccc2)C(=O)CCN1CCC(CC1)c1ccccc1,training
1.519074774,[nH]1c2ncnc(N(C)C3CCCCCC3)c2cc1,training
1.656280675,O(CCOC)c1cc2c(ncnc2N2CCN(CC2)C(=O)Nc2ccc(cc2)C(C)(C)C)cc1OCCOC,training
2.794103538,O1[C@H]2[C@@H](NC[C@H](C2)C)[C@@H](C)[C@]12CC(=C1[C@H]([C@H]3[C@H](C1)[C@@]1([C@H](CC3)c3c(n[nH]c3)CC1)C)CC2)C,training
1.375371049,Fc1ccc(cc1)-c1c(COC)c(nc(C(C)C)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)C(C)C,training
1.477441114,P(Oc1c2c(ccc1)cccc2)(OC[C@H]1O[C@@H](N2C=CC(=NC2=O)N)C(F)(F)[C@@H]1O)(=O)N[C@H](C(OCc1ccccc1)=O)C,training
1.085343218,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(C2C(CCC2)C=1O)CCc1ccccc1)C,training
0.850303725,O=C1N2C(=Nc3c1cc1c(c3)cccc1)C(=CC=C2)C(=O)NCCN1CCN(CC1)C,training
0.444236867,Ic1cc(F)c(Nc2n(C)c(C(=O)C)c(F)c2C(=O)NOC[C@@H](O)CO)cc1,training
1.212769554,n1n(nnc1)C(CCN(C)C)c1cc2c(cc1)cccc2,training
1.087625567,S(=O)(=O)(N1CCN(CC1)C)c1cc(C=2NC(=O)c3nn(CC(C)C)c(c3N=2)CC)c(OCCOC)nc1,training
0.41783539,Fc1c2c(N=C(N(Cc3ccccc3C#N)C2=O)N2C[C@H](N)CCC2)ccc1,training
0.676706669,O(C)c1cc(ccc1)CNC(=O)c1n(c2nc(ccc2c1)-c1cn[nH]c1)C,training
1.142939681,Clc1ccc(N2C(=Nc3ncccc3C2=O)[C@H](N(CC2CCS(=O)(=O)CC2)C(=O)Cc2cc(F)c(cc2)C(F)(F)F)C)cc1,training
0.665227744,Clc1cc2c(cc1NC(=O)[C@@H]1CCCNC1)C=CNC2=O,training
1.514321808,Clc1cc(N\C(=N\c2nccn2C(C)C)\NCC(C)(C)C)ccc1Cl,training
0.502963673,s1cccc1C(O)(C(OC1C[C@H]2[N+]([C@H]([C@@H]3O[C@H]23)C1)(C)C)=O)c1sccc1,training
2.221137776,Clc1cc(Nc2nc(NC3CCC(N(C)C)CC3)c(cn2)-c2onc(c2)C)cc(Cl)c1,training
